Stock-table register name mapping
=================================

Each entry of zx_stock_init_table[] (zx_stock_table.h) is
written by the driver during probe. This file maps each entry
index → its underlying HW register, where derivable from the
descriptor tables in zx-fpga-reg-tables.h.

Mapping rule:
  fpga_byte = off + 0x1c0000  (whether off is negative pon_early
                                or non-negative base — same math)
  fpga_word = fpga_byte >> 2

Match against descriptor entries: base_off + stride*sub_idx == fpga_word.
Multiple regs can share the same word (packed bit-fields); shown as alts.

  /*18945*/ off=   0x194348 val=0x000000ff  → zx_schregtable[reg_id=18, sub=2] RW mask=0xffffffff shift=0
  /*18946*/ off=   0x19434c val=0x000000ff  → zx_schregtable[reg_id=18, sub=3] RW mask=0xffffffff shift=0
  /*18947*/ off=   0x194350 val=0x000000ff  → zx_schregtable[reg_id=18, sub=4] RW mask=0xffffffff shift=0
  /*18948*/ off=   0x194354 val=0x000000ff  → zx_schregtable[reg_id=18, sub=5] RW mask=0xffffffff shift=0
  /*18949*/ off=   0x194358 val=0x000000ff  → zx_schregtable[reg_id=18, sub=6] RW mask=0xffffffff shift=0
  /*18950*/ off=   0x19435c val=0x000000ff  → zx_schregtable[reg_id=18, sub=7] RW mask=0xffffffff shift=0
  /*18951*/ off=   0x194360 val=0x000000ff  → zx_schregtable[reg_id=18, sub=8] RW mask=0xffffffff shift=0
  /*18952*/ off=   0x194364 val=0x000000ff  → zx_schregtable[reg_id=18, sub=9] RW mask=0xffffffff shift=0
  /*18953*/ off=   0x194368 val=0x000000ff  → zx_schregtable[reg_id=18, sub=10] RW mask=0xffffffff shift=0
  /*18954*/ off=   0x19436c val=0x000000ff  → zx_schregtable[reg_id=18, sub=11] RW mask=0xffffffff shift=0
  /*18955*/ off=   0x194370 val=0x000000ff  → zx_schregtable[reg_id=18, sub=12] RW mask=0xffffffff shift=0
  /*18956*/ off=   0x194374 val=0x000000ff  → zx_schregtable[reg_id=18, sub=13] RW mask=0xffffffff shift=0
  /*18957*/ off=   0x194378 val=0x000000ff  → zx_schregtable[reg_id=18, sub=14] RW mask=0xffffffff shift=0
  /*18958*/ off=   0x19437c val=0x000000ff  → zx_schregtable[reg_id=18, sub=15] RW mask=0xffffffff shift=0
  /*18959*/ off=   0x194380 val=0x000000ff  → zx_schregtable[reg_id=18, sub=16] RW mask=0xffffffff shift=0
  /*18960*/ off=   0x194384 val=0x000000ff  → zx_schregtable[reg_id=18, sub=17] RW mask=0xffffffff shift=0
  /*18961*/ off=   0x194388 val=0x000000ff  → zx_schregtable[reg_id=18, sub=18] RW mask=0xffffffff shift=0
  /*18962*/ off=   0x19438c val=0x000000ff  → zx_schregtable[reg_id=18, sub=19] RW mask=0xffffffff shift=0
  /*18963*/ off=   0x194390 val=0x000000ff  → zx_schregtable[reg_id=18, sub=20] RW mask=0xffffffff shift=0
  /*18964*/ off=   0x194394 val=0x000000ff  → zx_schregtable[reg_id=18, sub=21] RW mask=0xffffffff shift=0
  /*18965*/ off=   0x194398 val=0x000000ff  → zx_schregtable[reg_id=18, sub=22] RW mask=0xffffffff shift=0
  /*18966*/ off=   0x19439c val=0x000000ff  → zx_schregtable[reg_id=18, sub=23] RW mask=0xffffffff shift=0
  /*18967*/ off=   0x1943a0 val=0x000000ff  → zx_schregtable[reg_id=18, sub=24] RW mask=0xffffffff shift=0
  /*18968*/ off=   0x1943a4 val=0x000000ff  → zx_schregtable[reg_id=18, sub=25] RW mask=0xffffffff shift=0
  /*18969*/ off=   0x1943a8 val=0x000000ff  → zx_schregtable[reg_id=18, sub=26] RW mask=0xffffffff shift=0
  /*18970*/ off=   0x1943ac val=0x000000ff  → zx_schregtable[reg_id=18, sub=27] RW mask=0xffffffff shift=0
  /*18971*/ off=   0x1943b0 val=0x000000ff  → zx_schregtable[reg_id=18, sub=28] RW mask=0xffffffff shift=0
  /*18972*/ off=   0x1943b4 val=0x000000ff  → zx_schregtable[reg_id=18, sub=29] RW mask=0xffffffff shift=0
  /*18973*/ off=   0x1943b8 val=0x000000ff  → zx_schregtable[reg_id=18, sub=30] RW mask=0xffffffff shift=0
  /*18974*/ off=   0x1943bc val=0x000000ff  → zx_schregtable[reg_id=18, sub=31] RW mask=0xffffffff shift=0
  /*18975*/ off=   0x1943c0 val=0x000000ff  → zx_schregtable[reg_id=18, sub=32] RW mask=0xffffffff shift=0
  /*18976*/ off=   0x1943c4 val=0x000000ff  → zx_schregtable[reg_id=18, sub=33] RW mask=0xffffffff shift=0
  /*18977*/ off=   0x1943c8 val=0x000000ff  → zx_schregtable[reg_id=18, sub=34] RW mask=0xffffffff shift=0
  /*18978*/ off=   0x1943cc val=0x000000ff  → zx_schregtable[reg_id=18, sub=35] RW mask=0xffffffff shift=0
  /*18979*/ off=   0x1943d0 val=0x000000ff  → zx_schregtable[reg_id=18, sub=36] RW mask=0xffffffff shift=0
  /*18980*/ off=   0x1943d4 val=0x000000ff  → zx_schregtable[reg_id=18, sub=37] RW mask=0xffffffff shift=0
  /*18981*/ off=   0x1943d8 val=0x000000ff  → zx_schregtable[reg_id=18, sub=38] RW mask=0xffffffff shift=0
  /*18982*/ off=   0x1943dc val=0x000000ff  → zx_schregtable[reg_id=18, sub=39] RW mask=0xffffffff shift=0
  /*19149*/ off=   0x194f90 val=0x000000ff  → UNKNOWN (fpga word 0xd53e4)
  /*19649*/ off=   0x196fa0 val=0x000000ff  → UNKNOWN (fpga word 0xd5be8)
  /*20149*/ off=   0x1c1500 val=0x0000000f  → UNKNOWN (fpga word 0xe0540)
  /*20566*/ off=   0x1c4000 val=0x00000021  → zx_sadmregtable[reg_id=0, sub=0] RW mask=0x1 shift=0 + 3 bitfield alts
  /*20567*/ off=   0x1c4004 val=0x00002008  → zx_sadmregtable[reg_id=4, sub=0] RW mask=0x1fffff shift=0
  /*20569*/ off=   0x1c400c val=0x0bebc200  → zx_sadmregtable[reg_id=5, sub=0] RW mask=0xfffffff shift=0
  /*20571*/ off=   0x1c4014 val=0x00000004  → zx_sadmregtable[reg_id=6, sub=0] RW mask=0xffffffff shift=0
  /*20572*/ off=   0x1c4018 val=0x00000001  → zx_sadmregtable[reg_id=7, sub=0] R mask=0x1 shift=0
  /*20573*/ off=   0x1c4020 val=0x0007d000  → zx_sadmregtable[reg_id=8, sub=1] RW mask=0xffffffff shift=0
  /*20574*/ off=   0x1c4028 val=0x00001388  → zx_sadmregtable[reg_id=8, sub=3] RW mask=0xffffffff shift=0 + 1 bitfield alts
  /*20575*/ off=   0x1c4030 val=0x00000018  → zx_sadmregtable[reg_id=11, sub=0] RW mask=0x3f shift=0
  /*20576*/ off=   0x1c4034 val=0x00001869  → zx_sadmregtable[reg_id=12, sub=0] RW mask=0x3ffff shift=0
  /*20581*/ off=   0x1c4284 val=0x00000001  → zx_sadmregtable[reg_id=19, sub=0] RW mask=0x7 shift=0 + 1 bitfield alts
